filename,absolute_path,extension,size,modify_datetime,md5_checksum,sha256_checksum
animals.csv,C:\Users\Meghan\Desktop\networked-services-labs\data\animal-counts\animals.csv,.csv,163,2022-10-05T10:55:19,4a94722409273666d9d12b8216678eec,0b2b3ef42d1d5c36495bbe7cc71a892b9b92daf3afe3fc9eacc9421646f88987
mbox-short.txt,C:\Users\Meghan\Desktop\networked-services-labs\data\emails\mbox-short.txt,.txt,96534,2022-10-05T10:55:19,53b0bbd333ba45ebbf470a19df26e91b,961a6567df745f0643ae781c50ccca87703496bc366c16eb13a15f890e4c4633
08-12-1997-items.xls,C:\Users\Meghan\Desktop\networked-services-labs\data\filenames-with-american-dates\08-12-1997-items.xls,.xls,25600,2022-10-05T10:55:19,9eed152f17df51ce627bba4ace26ed6a,2d9fbcdd272d2aaa7693855e7401abf20fedee1318f3316cd6044b0fc74e4550
08-12-1997-items.xlsx,C:\Users\Meghan\Desktop\networked-services-labs\data\filenames-with-american-dates\08-12-1997-items.xlsx,.xlsx,8844,2022-10-05T10:55:19,ed7237c18fc5f0219a5ea4e6e515ad87,00f7d37ab2567753a7463f62fc117b67617ec09938ef36587bbcefc8274e0b92
books-on-shelves12-3-2002.txt,C:\Users\Meghan\Desktop\networked-services-labs\data\filenames-with-american-dates\books-on-shelves12-3-2002.txt,.txt,69,2022-10-05T10:55:19,7d28bc4228556f66097d5d9ee662f052,0c02b47b4574a96aee02e3048ada7aac97af960bad6988686d6ef6dcee6d6d04
diary-04-23-19.doc,C:\Users\Meghan\Desktop\networked-services-labs\data\filenames-with-american-dates\diary-04-23-19.doc,.doc,22528,2022-10-05T10:55:19,2051bff468973af520ee2d603961bbf9,ecfb19bcc3c05513680f6060f1a0864aac428f38dcdcedc6fbf7f65e7fa50b2e
diary-04-23-20.docx,C:\Users\Meghan\Desktop\networked-services-labs\data\filenames-with-american-dates\diary-04-23-20.docx,.docx,12070,2022-10-05T10:55:19,a0d898c9eb87b9369459add1248e1a5a,67d1da40d5dcb38d5e9d8def88c6ccbfbf8433f32a5be66a05278b098f533d3e
observations-03-30-2018.csv,C:\Users\Meghan\Desktop\networked-services-labs\data\filenames-with-american-dates\observations-03-30-2018.csv,.csv,45,2022-10-05T10:55:19,e529b0ff500667a2ad92e1c049652d5c,e3c096a9b3f49a1c7ba00de7740e863443a5dca6a69bb2f403dc113acf41a978
sightings-202203.jpg,C:\Users\Meghan\Desktop\networked-services-labs\data\filenames-with-american-dates\sightings-202203.jpg,.jpg,57527,2022-10-05T10:55:19,4be180ad9340536ed320a0761c2634a9,5efe19fbaa24934bd151502c06bde08d10d0b915ae432ac01deffeab8e332f7c
html-with-script.html,C:\Users\Meghan\Desktop\networked-services-labs\data\html-exercise\html-with-script.html,.html,1436,2022-10-05T10:55:19,50a46584bd9bb39248395c9d2d326025,fb9012fdd58183af45d0ec6881ce9009e9f7b0257ab13e936244c5a27915bd84
